
> backend@0.1.0 develop /home/ubuntu/backend/sigtuple-backend
> strapi develop


 Project information

[90m┌────────────────────[39m[90m┬──────────────────────────────────────────────────┐[39m
[90m│[39m Time               [90m│[39m Fri Jul 09 2021 17:28:55 GMT+0000 (Coordinated … [90m│[39m
[90m│[39m Launched in        [90m│[39m 2496 ms                                          [90m│[39m
[90m│[39m Environment        [90m│[39m development                                      [90m│[39m
[90m│[39m Process PID        [90m│[39m 30087                                            [90m│[39m
[90m│[39m Version            [90m│[39m 3.6.5 (node v14.17.2)                            [90m│[39m
[90m│[39m Edition            [90m│[39m Community                                        [90m│[39m
[90m└────────────────────[39m[90m┴──────────────────────────────────────────────────┘[39m

 Actions available

Welcome back!
To manage your project 🚀, go to the administration panel at:
http://localhost:1337/admin

To access the server ⚡️, go to:
http://localhost:1337

[2021-07-09T20:37:39.669Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-09T20:37:39.672Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (2 ms) 200
[2021-07-09T20:38:25.426Z] debug GET /publications (15 ms) 200
[2021-07-09T20:38:25.712Z] debug GET /clients (24 ms) 200
[2021-07-09T20:38:25.979Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-09T20:38:26.272Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-09T20:46:06.834Z] debug GET /publications (29 ms) 200
[2021-07-09T20:46:06.843Z] debug GET /clients (32 ms) 200
[2021-07-09T20:46:07.449Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-09T20:46:07.451Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (2 ms) 200
[2021-07-09T20:46:23.331Z] debug GET /publications (14 ms) 200
[2021-07-09T20:46:23.590Z] debug GET /clients (18 ms) 200
[2021-07-09T20:46:23.865Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-09T20:46:24.139Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (2 ms) 200
[2021-07-09T20:46:30.036Z] debug GET /publications (17 ms) 200
[2021-07-09T20:46:30.089Z] debug GET /clients (27 ms) 200
[2021-07-09T20:46:30.629Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (2 ms) 200
[2021-07-09T20:46:30.633Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-10T02:26:31.366Z] debug GET /publications (32 ms) 200
[2021-07-10T02:26:31.370Z] debug GET /clients (43 ms) 200
[2021-07-10T02:26:32.177Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (3 ms) 200
[2021-07-10T02:26:32.178Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (5 ms) 200
[2021-07-10T03:42:47.622Z] debug GET /publications (21 ms) 200
[2021-07-10T03:42:47.637Z] debug GET /clients (19 ms) 200
[2021-07-10T03:42:54.360Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-10T03:42:54.362Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-10T03:57:21.571Z] debug GET /publications (16 ms) 200
[2021-07-10T03:57:21.596Z] debug GET /clients (18 ms) 200
[2021-07-10T03:57:22.182Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (3 ms) 200
[2021-07-10T03:57:22.183Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (3 ms) 200
[2021-07-10T03:57:29.863Z] debug GET /publications (16 ms) 200
[2021-07-10T03:57:30.132Z] debug GET /clients (31 ms) 200
[2021-07-10T03:57:30.413Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-10T03:57:30.669Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-10T04:32:19.040Z] debug GET /admin/auth/login (2 ms) 200
[2021-07-10T05:52:59.306Z] debug GET index.html (9 ms) 200
[2021-07-10T05:52:59.483Z] debug GET index.html (7 ms) 200
[2021-07-11T01:03:45.823Z] debug GET index.html (35 ms) 200
[2021-07-11T02:37:15.624Z] debug GET /favicon.ico (3 ms) 200
[2021-07-11T03:21:19.081Z] debug GET index.html (10 ms) 200
[2021-07-11T05:29:56.319Z] debug GET /publications (33 ms) 200
[2021-07-11T05:29:56.327Z] debug GET /clients (37 ms) 200
[2021-07-11T05:29:57.069Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-11T05:29:57.110Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-11T08:53:55.284Z] debug GET index.html (8 ms) 200
[2021-07-11T08:53:55.748Z] debug GET index.html (10 ms) 200
[2021-07-11T20:31:24.242Z] debug GET index.html (11 ms) 200
[2021-07-11T20:31:25.026Z] debug GET index.html (6 ms) 200
[2021-07-12T02:30:58.416Z] debug GET /publications (38 ms) 200
[2021-07-12T02:30:58.429Z] debug GET /clients (42 ms) 200
[2021-07-12T02:31:00.764Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-12T02:31:00.765Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (2 ms) 200
[2021-07-12T08:36:21.712Z] debug GET /publications (27 ms) 200
[2021-07-12T08:36:21.719Z] debug GET /clients (28 ms) 200
[2021-07-12T08:36:22.476Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-12T08:36:22.484Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (2 ms) 200
[2021-07-12T08:59:11.851Z] debug GET /publications (15 ms) 200
[2021-07-12T08:59:11.869Z] debug GET /clients (15 ms) 200
[2021-07-12T08:59:12.331Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-12T08:59:12.380Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-12T18:50:36.730Z] debug GET index.html (7 ms) 200
[2021-07-12T18:50:36.955Z] debug GET index.html (7 ms) 200
[2021-07-13T07:25:34.466Z] debug GET /publications (23 ms) 200
[2021-07-13T07:25:34.479Z] debug GET /clients (23 ms) 200
