
> backend@0.1.0 develop /home/ubuntu/backend/sigtuple-backend
> strapi develop


 Project information

[90m┌────────────────────[39m[90m┬──────────────────────────────────────────────────┐[39m
[90m│[39m Time               [90m│[39m Fri Jul 09 2021 17:28:55 GMT+0000 (Coordinated … [90m│[39m
[90m│[39m Launched in        [90m│[39m 2496 ms                                          [90m│[39m
[90m│[39m Environment        [90m│[39m development                                      [90m│[39m
[90m│[39m Process PID        [90m│[39m 30087                                            [90m│[39m
[90m│[39m Version            [90m│[39m 3.6.5 (node v14.17.2)                            [90m│[39m
[90m│[39m Edition            [90m│[39m Community                                        [90m│[39m
[90m└────────────────────[39m[90m┴──────────────────────────────────────────────────┘[39m

 Actions available

Welcome back!
To manage your project 🚀, go to the administration panel at:
http://localhost:1337/admin

To access the server ⚡️, go to:
http://localhost:1337

[2021-07-13T07:25:35.091Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-13T07:25:35.119Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (2 ms) 200
[2021-07-13T07:44:52.803Z] debug GET /publications (28 ms) 200
[2021-07-13T07:44:52.817Z] debug GET /clients (18 ms) 200
[2021-07-13T07:44:53.372Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-13T07:44:53.381Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-13T07:45:35.655Z] debug GET /publications (14 ms) 200
[2021-07-13T07:45:35.946Z] debug GET /clients (25 ms) 200
[2021-07-13T07:45:36.244Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-13T08:30:55.960Z] debug GET /publications (13 ms) 200
[2021-07-13T08:30:55.977Z] debug GET /clients (15 ms) 200
[2021-07-13T08:30:56.522Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-13T08:30:56.538Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-13T11:08:33.001Z] debug GET index.html (6 ms) 200
[2021-07-13T11:08:33.048Z] debug GET index.html (7 ms) 200
[2021-07-13T14:17:12.432Z] debug GET /publications (24 ms) 200
[2021-07-13T14:17:12.442Z] debug GET /clients (25 ms) 200
[2021-07-13T14:17:12.992Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-13T14:17:13.017Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-13T18:36:39.329Z] debug GET /publications (25 ms) 200
[2021-07-13T18:36:39.348Z] debug GET /clients (28 ms) 200
[2021-07-13T18:36:39.797Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-13T18:36:39.873Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-13T18:54:26.729Z] debug GET /publications (13 ms) 200
[2021-07-13T18:54:26.793Z] debug GET /clients (15 ms) 200
[2021-07-13T18:54:27.245Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-13T18:54:27.268Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-13T20:57:53.148Z] debug GET /publications (26 ms) 200
[2021-07-13T20:57:53.153Z] debug GET /clients (38 ms) 200
[2021-07-13T20:57:53.171Z] debug GET /clients/count (9 ms) 200
[2021-07-13T20:57:53.639Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (3 ms) 200
[2021-07-13T20:57:53.640Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (2 ms) 200
[2021-07-13T20:59:14.383Z] debug GET /publications (14 ms) 200
[2021-07-13T20:59:14.405Z] debug GET /clients/count (17 ms) 200
[2021-07-13T20:59:14.417Z] debug GET /clients (24 ms) 200
[2021-07-13T20:59:14.866Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-13T20:59:14.919Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T03:29:32.755Z] debug GET /publications (31 ms) 200
[2021-07-14T03:29:32.762Z] debug GET /clients (32 ms) 200
[2021-07-14T03:29:32.773Z] debug GET /clients/count (7 ms) 200
[2021-07-14T03:29:33.366Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-14T03:29:33.419Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T03:51:04.256Z] debug GET /clients/count (10 ms) 200
[2021-07-14T03:51:04.276Z] debug GET /publications (12 ms) 200
[2021-07-14T03:51:04.294Z] debug GET /clients (15 ms) 200
[2021-07-14T03:51:06.505Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T03:51:06.515Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-14T04:35:29.208Z] debug GET /publications (13 ms) 200
[2021-07-14T04:35:29.237Z] debug GET /clients (22 ms) 200
[2021-07-14T04:35:29.319Z] debug GET /clients/count (8 ms) 200
[2021-07-14T04:35:32.506Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (4 ms) 200
[2021-07-14T04:35:32.597Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T04:41:25.296Z] debug GET /publications (18 ms) 200
[2021-07-14T04:41:25.389Z] debug GET /clients/count (17 ms) 200
[2021-07-14T04:41:25.399Z] debug GET /clients (21 ms) 200
[2021-07-14T04:41:26.168Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-14T04:41:26.399Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T06:32:37.826Z] debug GET /publications (26 ms) 200
[2021-07-14T06:32:37.834Z] debug GET /clients (29 ms) 200
