
 Project information

[90m┌────────────────────[39m[90m┬──────────────────────────────────────────────────┐[39m
[90m│[39m Time               [90m│[39m Mon Nov 29 2021 08:01:57 GMT+0000 (Coordinated … [90m│[39m
[90m│[39m Launched in        [90m│[39m 6349 ms                                          [90m│[39m
[90m│[39m Environment        [90m│[39m development                                      [90m│[39m
[90m│[39m Process PID        [90m│[39m 12660                                            [90m│[39m
[90m│[39m Version            [90m│[39m 3.6.6 (node v14.17.2)                            [90m│[39m
[90m│[39m Edition            [90m│[39m Community                                        [90m│[39m
[90m└────────────────────[39m[90m┴──────────────────────────────────────────────────┘[39m

 Actions available

Welcome back!
To manage your project 🚀, go to the administration panel at:
http://localhost:1337/admin

To access the server ⚡️, go to:
http://localhost:1337

[2021-11-29T08:56:17.855Z] debug POST /admin/login (179 ms) 200
[2021-11-29T08:56:18.204Z] debug GET /admin/information (53 ms) 200
[2021-11-29T08:56:18.272Z] debug GET /i18n/locales (65 ms) 200
[2021-11-29T08:56:18.497Z] debug GET /content-manager/content-types (53 ms) 200
[2021-11-29T08:56:18.850Z] debug GET /admin/users/me/permissions (66 ms) 200
[2021-11-29T08:56:19.148Z] debug GET /content-manager/components (24 ms) 200
[2021-11-29T08:56:19.357Z] debug GET /content-manager/content-types (203 ms) 200
[2021-11-29T08:56:19.390Z] debug GET /admin/6d20cff5b3255dd0078f935c34e2b882.woff2 (4 ms) 200
[2021-11-29T08:56:19.415Z] debug GET /admin/0063b2cc64d976ac36f211442466d0ac.png (2 ms) 200
[2021-11-29T08:56:19.427Z] debug GET /content-manager/content-types-settings (276 ms) 200
[2021-11-29T08:56:19.633Z] debug GET /admin/a4234d384f7c58f2f5f90cfb08cee1e1.png (1 ms) 200
[2021-11-29T08:56:19.635Z] debug GET /admin/f46a81c3d1d3a648af68cffd4d0bba1d.png (1 ms) 200
[2021-11-29T08:56:19.694Z] debug GET /admin/7b77ea7e971bd3774dac8db799dfcef7.png (1 ms) 200
[2021-11-29T08:56:19.855Z] debug GET /admin/3dd22e0349b2d2a7b7c998ad0bdb03df.png (2 ms) 200
[2021-11-29T08:56:19.909Z] debug GET /admin/f16ac9b228b18810dd7cd6313764c007.png (9 ms) 200
[2021-11-29T08:56:19.941Z] debug GET /content-manager/content-types (38 ms) 200
[2021-11-29T08:56:19.943Z] debug GET /admin/2fa5de8209723e8dc08c8aee4644da58.png (1 ms) 200
[2021-11-29T08:56:25.546Z] debug GET /content-manager/components (48 ms) 200
[2021-11-29T08:56:25.570Z] debug GET /content-manager/content-types (65 ms) 200
[2021-11-29T08:56:25.854Z] debug GET /content-manager/content-types/application::blogs.blogs/configuration (43 ms) 200
[2021-11-29T08:56:26.198Z] debug GET /content-manager/collection-types/application::blogs.blogs?page=1&pageSize=10&_sort=title:ASC (53 ms) 200
[2021-11-29T08:56:32.141Z] debug GET /content-manager/content-types/application::bookings.bookings/configuration (55 ms) 200
[2021-11-29T08:56:32.511Z] debug GET /content-manager/collection-types/application::bookings.bookings?page=1&pageSize=10&_sort=name:ASC (63 ms) 200
[2021-11-29T08:56:34.034Z] debug GET /content-manager/content-types/application::clients.clients/configuration (31 ms) 200
[2021-11-29T08:56:34.375Z] debug GET /content-manager/collection-types/application::clients.clients?page=1&pageSize=10&_sort=Username:ASC (36 ms) 200
[2021-11-29T08:57:08.147Z] debug GET /videos?type_eq=Presentation (2 ms) 404
[2021-11-29T08:57:08.151Z] debug GET /videos?type_eq=Shonit (1 ms) 404
[2021-11-29T08:57:08.177Z] debug GET /videos?type_eq=Shrava (1 ms) 404
[2021-11-29T08:57:08.198Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (16 ms) 200
[2021-11-29T08:57:08.237Z] debug GET /clients (33 ms) 200
[2021-11-29T08:57:08.242Z] debug GET /blogs?_limit=5 (34 ms) 200
[2021-11-29T08:57:18.474Z] debug GET /content-manager/collection-types/application::clients.clients/1 (56 ms) 200
[2021-11-29T08:57:42.120Z] debug GET /content-manager/content-types/application::faq.faq/configuration (35 ms) 200
[2021-11-29T08:57:42.452Z] debug GET /content-manager/collection-types/application::faq.faq?page=1&pageSize=10&_sort=title:ASC (34 ms) 200
[2021-11-29T08:57:50.100Z] debug GET /content-manager/collection-types/application::faq.faq?page=1&pageSize=50&_sort=title:ASC (48 ms) 200
[2021-11-29T08:58:05.631Z] debug GET /content-manager/collection-types/application::blogs.blogs?page=1&pageSize=10&_sort=title:ASC (49 ms) 200
[2021-11-29T08:58:07.923Z] debug GET /content-manager/collection-types/application::bookings.bookings?page=1&pageSize=10&_sort=name:ASC (42 ms) 200
[2021-11-29T08:58:09.760Z] debug GET /content-manager/collection-types/application::clients.clients?page=1&pageSize=10&_sort=Username:ASC (46 ms) 200
[2021-11-29T08:58:11.374Z] debug GET /content-manager/content-types/application::contactus.contactus/configuration (30 ms) 200
[2021-11-29T08:58:11.650Z] debug GET /content-manager/collection-types/application::contactus.contactus?page=1&pageSize=10&_sort=name:ASC (30 ms) 200
[2021-11-29T08:58:12.309Z] debug GET /content-manager/collection-types/application::faq.faq?page=1&pageSize=10&_sort=title:ASC (46 ms) 200
[2021-11-29T08:58:47.797Z] debug GET /upload/files/count? (127 ms) 200
[2021-11-29T08:58:47.803Z] debug GET /upload/files?_limit=10&_start=0&_sort=updated_at:DESC (126 ms) 200
[2021-11-29T08:58:48.429Z] debug GET /admin/plugins/https://sigtuple2021.s3.us-east-2.amazonaws.com/shonit_v6_3973953af0.mp4 (4 ms) 200
[2021-11-29T08:58:48.430Z] debug GET /admin/plugins/https://sigtuple2021.s3.us-east-2.amazonaws.com/shrava_v6_98703790b1.mp4 (2 ms) 200
[2021-11-29T08:58:48.654Z] debug GET /admin/plugins/https://sigtuple2021.s3.us-east-2.amazonaws.com/video_3a3b78ffb1.mp4 (2 ms) 200
[2021-11-29T08:58:48.696Z] debug GET /admin/plugins/https://sigtuple2021.s3.us-east-2.amazonaws.com/VID_20210818_WA_0001_e10ebd9926.mp4 (2 ms) 200
[2021-11-29T08:58:48.721Z] debug GET /admin/plugins/https://sigtuple2021.s3.us-east-2.amazonaws.com/shonit_v4_1efa00206a.mp4 (1 ms) 200
[2021-11-29T09:09:58.760Z] debug GET /upload/files?_limit=50&_start=0&_sort=updated_at:DESC (68 ms) 200
[2021-11-29T09:09:58.797Z] debug GET /upload/files/count? (65 ms) 200
[2021-11-29T09:11:39.791Z] debug GET /content-manager/components (32 ms) 200
[2021-11-29T09:11:39.815Z] debug GET /content-manager/content-types (51 ms) 200
[2021-11-29T09:11:40.151Z] debug GET /content-manager/content-types/application::blogs.blogs/configuration (47 ms) 200
[2021-11-29T09:11:40.520Z] debug GET /content-manager/collection-types/application::blogs.blogs?page=1&pageSize=10&_sort=title:ASC (47 ms) 200
[2021-11-29T09:17:34.522Z] debug GET /videos?type_eq=Presentation (2 ms) 404
[2021-11-29T09:17:34.555Z] debug GET /videos?type_eq=Shonit (9 ms) 404
[2021-11-29T09:17:34.555Z] debug GET /videos?type_eq=Shrava (7 ms) 404
[2021-11-29T09:17:34.585Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (46 ms) 200
[2021-11-29T09:17:34.597Z] debug GET /clients (47 ms) 200
[2021-11-29T09:17:34.606Z] debug GET /blogs?_limit=5 (47 ms) 200
[2021-11-29T09:18:45.132Z] debug GET /videos?type_eq=Presentation (2 ms) 404
[2021-11-29T09:18:45.135Z] debug GET /videos?type_eq=Shonit (1 ms) 404
[2021-11-29T09:18:45.142Z] debug GET /videos?type_eq=Shrava (1 ms) 404
[2021-11-29T09:18:45.174Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (25 ms) 200
[2021-11-29T09:18:45.197Z] debug GET /clients (39 ms) 200
[2021-11-29T09:18:45.202Z] debug GET /blogs?_limit=5 (36 ms) 200
[2021-11-29T09:20:04.801Z] debug GET /videos?type_eq=Presentation (1 ms) 404
[2021-11-29T09:20:04.810Z] debug GET /videos?type_eq=Shonit (4 ms) 404
[2021-11-29T09:20:04.831Z] debug GET /videos?type_eq=Shrava (4 ms) 404
[2021-11-29T09:20:04.838Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (25 ms) 200
[2021-11-29T09:20:04.861Z] debug GET /clients (18 ms) 200
[2021-11-29T09:20:04.882Z] debug GET /blogs?_limit=5 (17 ms) 200
[2021-11-29T09:20:06.177Z] debug GET /videos?type_eq=Presentation (1 ms) 404
[2021-11-29T09:20:06.181Z] debug GET /videos?type_eq=Shonit (2 ms) 404
[2021-11-29T09:20:06.185Z] debug GET /videos?type_eq=Shrava (0 ms) 404
[2021-11-29T09:20:06.215Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (27 ms) 200
[2021-11-29T09:20:06.236Z] debug GET /clients (39 ms) 200
[2021-11-29T09:20:06.240Z] debug GET /blogs?_limit=5 (39 ms) 200
[2021-11-29T09:20:57.293Z] debug GET /publications?_sort=updated_at:desc&_limit=6&publish_at_gte=2021-01-01&publish_at_lte=2021-12-31 (15 ms) 200
[2021-11-29T09:20:57.545Z] debug GET /publications/count?publish_at_gte=2021-01-01&publish_at_lte=2021-12-31 (8 ms) 200
[2021-11-29T09:33:13.751Z] debug GET /stories?year_in=2014&year_in=2015&year_in=2016 (32 ms) 200
[2021-11-29T09:33:13.780Z] debug GET /teams?_sort=created_at:asc&_limit=5 (26 ms) 200
[2021-11-29T09:33:14.063Z] debug GET /videos?type_eq=Presentation (1 ms) 404
[2021-11-29T09:33:14.069Z] debug GET /videos?type_eq=Shonit (2 ms) 404
[2021-11-29T09:33:14.077Z] debug GET /videos?type_eq=Shrava (6 ms) 404
[2021-11-29T09:33:14.122Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (49 ms) 200
[2021-11-29T09:33:14.143Z] debug GET /clients (64 ms) 200
[2021-11-29T09:33:14.148Z] debug GET /blogs?_limit=5 (63 ms) 200
[2021-11-29T09:34:07.754Z] debug GET /stories?year_in=2014&year_in=2015&year_in=2016 (17 ms) 200
[2021-11-29T09:34:07.999Z] debug GET /teams?_sort=created_at:asc&_limit=5 (22 ms) 200
[2021-11-29T09:34:08.147Z] debug GET /videos?type_eq=Presentation (1 ms) 404
[2021-11-29T09:34:08.161Z] debug GET /videos?type_eq=Shonit (5 ms) 404
[2021-11-29T09:34:08.181Z] debug GET /videos?type_eq=Shrava (15 ms) 404
[2021-11-29T09:34:08.209Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (50 ms) 200
[2021-11-29T09:34:08.223Z] debug GET /clients (60 ms) 200
[2021-11-29T09:34:08.227Z] debug GET /blogs?_limit=5 (41 ms) 200
[2021-11-29T09:34:12.585Z] debug GET /videos?type_eq=Shonit (1 ms) 404
[2021-11-29T09:34:12.590Z] debug GET /videos?type_eq=Presentation (1 ms) 404
[2021-11-29T09:34:12.813Z] debug GET /videos?type_eq=Shrava (1 ms) 404
[2021-11-29T09:34:12.889Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (65 ms) 200
[2021-11-29T09:34:12.900Z] debug GET /clients (63 ms) 200
[2021-11-29T09:34:12.914Z] debug GET /blogs?_limit=5 (53 ms) 200
[2021-11-29T09:35:07.335Z] debug GET /videos?type_eq=Presentation (6 ms) 404
[2021-11-29T09:35:07.343Z] debug GET /videos?type_eq=Shonit (6 ms) 404
[2021-11-29T09:35:07.345Z] debug GET /videos?type_eq=Shrava (5 ms) 404
[2021-11-29T09:35:07.348Z] debug GET /clients (32 ms) 200
[2021-11-29T09:35:07.370Z] debug GET /blogs?_limit=5 (38 ms) 200
[2021-11-29T09:35:07.383Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (19 ms) 200
[2021-11-29T11:09:20.931Z] debug GET /videos?type_eq=Presentation (1 ms) 404
[2021-11-29T11:09:21.092Z] debug GET /videos?type_eq=Shonit (1 ms) 404
[2021-11-29T11:09:21.101Z] debug GET /videos?type_eq=Shrava (7 ms) 404
[2021-11-29T11:09:21.153Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (41 ms) 200
[2021-11-29T11:09:21.157Z] debug GET /clients (53 ms) 200
[2021-11-29T11:09:21.169Z] debug GET /blogs?_limit=5 (62 ms) 200
[2021-11-29T11:17:24.902Z] debug GET index.html (11 ms) 200
[2021-11-29T13:10:49.397Z] debug GET /videos?type_eq=Presentation (1 ms) 404
[2021-11-29T13:10:49.404Z] debug GET /videos?type_eq=Shonit (1 ms) 404
[2021-11-29T13:10:49.409Z] debug GET /videos?type_eq=Shrava (1 ms) 404
[2021-11-29T13:10:49.462Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (39 ms) 200
[2021-11-29T13:10:49.470Z] debug GET /blogs?_limit=5 (52 ms) 200
[2021-11-29T13:10:49.473Z] debug GET /clients (46 ms) 200
[2021-11-29T13:11:07.784Z] debug GET /videos?type_eq=Presentation (6 ms) 404
[2021-11-29T13:11:07.788Z] debug GET /videos?type_eq=Shonit (2 ms) 404
[2021-11-29T13:11:07.791Z] debug GET /videos?type_eq=Shrava (1 ms) 404
[2021-11-29T13:11:07.825Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (28 ms) 200
[2021-11-29T13:11:07.831Z] debug GET /clients (38 ms) 200
[2021-11-29T13:11:07.849Z] debug GET /blogs?_limit=5 (34 ms) 200
[2021-11-29T13:34:55.798Z] debug GET /videos?type_eq=Presentation (1 ms) 404
[2021-11-29T13:34:55.805Z] debug GET /videos?type_eq=Shonit (2 ms) 404
[2021-11-29T13:34:55.824Z] debug GET /videos?type_eq=Shrava (3 ms) 404
[2021-11-29T13:34:55.853Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (47 ms) 200
[2021-11-29T13:34:55.867Z] debug GET /clients (54 ms) 200
[2021-11-29T13:34:55.871Z] debug GET /blogs?_limit=5 (53 ms) 200
[2021-11-29T13:35:00.970Z] debug GET application:application/admin/plugins/content-manager/collectionType/application::blogs.blogs?page=1&pageSize=10&_sort=title:ASC (1 ms) 200
[2021-11-29T13:35:01.220Z] debug GET /admin/main.ee3d694b.chunk.js (2 ms) 200
[2021-11-29T13:35:01.464Z] debug GET /admin/runtime~main.e591ad3f.js (1 ms) 200
[2021-11-29T13:35:06.626Z] debug GET /videos?type_eq=Presentation (1 ms) 404
[2021-11-29T13:35:06.632Z] debug GET /videos?type_eq=Shonit (1 ms) 404
[2021-11-29T13:35:06.637Z] debug GET /videos?type_eq=Shrava (1 ms) 404
[2021-11-29T13:35:06.690Z] debug GET /publications?_sort=updated_at:desc&_limit=10 (41 ms) 200
[2021-11-29T13:35:06.694Z] debug GET /clients (49 ms) 200
[2021-11-29T13:35:06.710Z] debug GET /blogs?_limit=5 (45 ms) 200
[2021-11-29T13:35:19.862Z] debug POST /admin/renew-token (77 ms) 200
[2021-11-29T13:35:19.864Z] debug GET /admin/init (85 ms) 200
[2021-11-29T13:35:25.376Z] debug GET /admin/75614cfcfedd509b1f7ac1c26c53bb7f.woff2 (2 ms) 200
[2021-11-29T13:35:25.412Z] debug GET /content-manager/content-types (40 ms) 200
[2021-11-29T13:35:25.473Z] debug GET /admin/information (91 ms) 200
[2021-11-29T13:35:25.482Z] debug GET /i18n/locales (102 ms) 200
[2021-11-29T13:35:25.756Z] debug GET /admin/users/me/permissions (32 ms) 200
[2021-11-29T13:35:25.857Z] debug GET /admin/21b3848a32fce5b0f5014948186f6964.woff2 (1 ms) 200
[2021-11-29T13:35:26.203Z] debug GET /content-manager/components (142 ms) 200
[2021-11-29T13:35:26.264Z] debug GET /content-manager/content-types-settings (197 ms) 200
[2021-11-29T13:35:26.317Z] debug GET /content-manager/content-types (20 ms) 200
[2021-11-29T13:35:26.576Z] debug GET /content-manager/content-types (23 ms) 200
[2021-11-29T13:35:26.606Z] debug GET /content-manager/content-types/application::blogs.blogs/configuration (29 ms) 200
[2021-11-29T13:35:26.884Z] debug GET /admin/0063b2cc64d976ac36f211442466d0ac.png (2 ms) 200
[2021-11-29T13:35:26.905Z] debug GET /admin/6d20cff5b3255dd0078f935c34e2b882.woff2 (2 ms) 200
[2021-11-29T13:35:26.935Z] debug GET /content-manager/collection-types/application::blogs.blogs?page=1&pageSize=10&_sort=title:ASC (38 ms) 200
[2021-11-29T13:35:26.946Z] debug GET /admin/a6069540692725c247f13984a9598a92.woff2 (1 ms) 200
[2021-11-29T13:35:27.124Z] debug GET /admin/ada6e6df937f7e5e8b790dfea07109b7.woff2 (1 ms) 200
[2021-11-29T13:37:12.085Z] debug GET /content-manager/content-types/application::teams.teams/configuration (29 ms) 200
[2021-11-29T13:37:12.469Z] debug GET /content-manager/collection-types/application::teams.teams?page=1&pageSize=10&_sort=name:ASC (41 ms) 200
[2021-11-29T13:37:21.591Z] debug GET /content-manager/collection-types/application::teams.teams/2 (40 ms) 200
[2021-11-29T13:37:25.480Z] debug GET /upload/files?_limit=10&_start=0&_sort=updated_at%3ADESC (29 ms) 200
[2021-11-29T13:37:25.733Z] debug GET /upload/files/count? (33 ms) 200
[2021-11-29T13:37:38.367Z] debug POST /upload (766 ms) 200
[2021-11-29T13:37:38.647Z] debug GET /upload/files/count? (29 ms) 200
[2021-11-29T13:37:38.707Z] debug GET /upload/files?_limit=10&_start=0&_sort=updated_at%3ADESC (83 ms) 200
[2021-11-29T13:37:46.659Z] debug PUT /content-manager/collection-types/application::teams.teams/2 (129 ms) 200
[2021-11-29T13:37:55.938Z] debug PUT /content-manager/collection-types/application::teams.teams/2 (93 ms) 200
[2021-11-29T13:38:02.281Z] debug GET /teams?_sort=created_at:asc&_limit=5 (46 ms) 200
[2021-11-29T13:38:02.284Z] debug GET /stories?year_in=2014&year_in=2015&year_in=2016 (44 ms) 200
[2021-11-29T13:39:11.034Z] debug GET /upload/files?_limit=10&_start=0&_sort=updated_at%3ADESC (48 ms) 200
[2021-11-29T13:39:11.056Z] debug GET /upload/files/count? (60 ms) 200
[2021-11-29T13:39:23.804Z] debug POST /upload (701 ms) 200
[2021-11-29T13:39:24.078Z] debug GET /upload/files/count? (25 ms) 200
[2021-11-29T13:39:24.139Z] debug GET /upload/files?_limit=10&_start=0&_sort=updated_at%3ADESC (65 ms) 200
[2021-11-29T13:39:27.063Z] debug PUT /content-manager/collection-types/application::teams.teams/2 (89 ms) 200
[2021-11-29T13:39:32.292Z] debug GET /teams?_sort=created_at:asc&_limit=5 (42 ms) 200
